Epoch [1/30] | Train F1: 0.6916 | Val F1: 0.7619 | FPS: 5938.5
Epoch [2/30] | Train F1: 0.7805 | Val F1: 0.7543 | FPS: 11606.5
Epoch [3/30] | Train F1: 0.8234 | Val F1: 0.7966 | FPS: 11966.6
Epoch [4/30] | Train F1: 0.8668 | Val F1: 0.7957 | FPS: 11966.6
Epoch [5/30] | Train F1: 0.8761 | Val F1: 0.8000 | FPS: 11953.8
Epoch [6/30] | Train F1: 0.8813 | Val F1: 0.8601 | FPS: 11968.1
Epoch [7/30] | Train F1: 0.9017 | Val F1: 0.8679 | FPS: 11625.3
Epoch [8/30] | Train F1: 0.9005 | Val F1: 0.8789 | FPS: 11676.5
Epoch [9/30] | Train F1: 0.8956 | Val F1: 0.8711 | FPS: 21404.1
Epoch [10/30] | Train F1: 0.9089 | Val F1: 0.8763 | FPS: 10292.8
Epoch [11/30] | Train F1: 0.9056 | Val F1: 0.8641 | FPS: 11837.2
Epoch [12/30] | Train F1: 0.9148 | Val F1: 0.8785 | FPS: 11867.9
Epoch [13/30] | Train F1: 0.9143 | Val F1: 0.8203 | FPS: 12003.7
Epoch [14/30] | Train F1: 0.9312 | Val F1: 0.8761 | FPS: 11956.7
Epoch [15/30] | Train F1: 0.9288 | Val F1: 0.8882 | FPS: 11995.1
Epoch [16/30] | Train F1: 0.9338 | Val F1: 0.8959 | FPS: 11946.7
Epoch [17/30] | Train F1: 0.9385 | Val F1: 0.8432 | FPS: 12000.9
Epoch [18/30] | Train F1: 0.9301 | Val F1: 0.8951 | FPS: 11962.4
Epoch [19/30] | Train F1: 0.9551 | Val F1: 0.8797 | FPS: 11953.8
Epoch [20/30] | Train F1: 0.9508 | Val F1: 0.9097 | FPS: 11948.2
Epoch [21/30] | Train F1: 0.9594 | Val F1: 0.9241 | FPS: 11965.2
Epoch [22/30] | Train F1: 0.9390 | Val F1: 0.8868 | FPS: 11654.9
Epoch [23/30] | Train F1: 0.9331 | Val F1: 0.9079 | FPS: 11732.3
Epoch [24/30] | Train F1: 0.9624 | Val F1: 0.9057 | FPS: 11276.3
Epoch [25/30] | Train F1: 0.9685 | Val F1: 0.8882 | FPS: 11917.0
Epoch [26/30] | Train F1: 0.9308 | Val F1: 0.8987 | FPS: 11993.7
Epoch [27/30] | Train F1: 0.9500 | Val F1: 0.8757 | FPS: 9152.0
Epoch [28/30] | Train F1: 0.9544 | Val F1: 0.8779 | FPS: 11574.5
Epoch [29/30] | Train F1: 0.9581 | Val F1: 0.9045 | FPS: 11737.8
Epoch [30/30] | Train F1: 0.9712 | Val F1: 0.9286 | FPS: 11993.7
