📊 Dataset split | Train: 1314 | Val: 375 | Test: 189
Epoch [1/30] | Train F1: 0.6874 | Val F1: 0.7735 | FPS: 5618.5
Epoch [2/30] | Train F1: 0.8161 | Val F1: 0.8024 | FPS: 22310.1
Epoch [3/30] | Train F1: 0.8420 | Val F1: 0.6697 | FPS: 10943.7
Epoch [4/30] | Train F1: 0.8726 | Val F1: 0.8611 | FPS: 11113.9
Epoch [5/30] | Train F1: 0.8462 | Val F1: 0.8652 | FPS: 11139.6
Epoch [6/30] | Train F1: 0.8667 | Val F1: 0.8268 | FPS: 11504.9
Epoch [7/30] | Train F1: 0.8786 | Val F1: 0.7868 | FPS: 7644.1
Epoch [8/30] | Train F1: 0.8956 | Val F1: 0.8975 | FPS: 11503.6
Epoch [9/30] | Train F1: 0.8938 | Val F1: 0.8896 | FPS: 11334.6
Epoch [10/30] | Train F1: 0.9117 | Val F1: 0.7117 | FPS: 7451.6
Epoch [11/30] | Train F1: 0.8958 | Val F1: 0.8527 | FPS: 11155.1
Epoch [12/30] | Train F1: 0.9055 | Val F1: 0.8881 | FPS: 11187.4
Epoch [13/30] | Train F1: 0.9204 | Val F1: 0.8622 | FPS: 11140.9
Epoch [14/30] | Train F1: 0.9253 | Val F1: 0.7976 | FPS: 11221.2
Epoch [15/30] | Train F1: 0.8996 | Val F1: 0.8771 | FPS: 11289.5
Epoch [16/30] | Train F1: 0.9298 | Val F1: 0.8265 | FPS: 11296.1
Epoch [17/30] | Train F1: 0.9189 | Val F1: 0.8516 | FPS: 11244.8
Epoch [18/30] | Train F1: 0.9068 | Val F1: 0.9078 | FPS: 11316.0
Epoch [19/30] | Train F1: 0.9206 | Val F1: 0.8571 | FPS: 11213.4
Epoch [20/30] | Train F1: 0.9295 | Val F1: 0.9072 | FPS: 22398.2
Epoch [21/30] | Train F1: 0.9385 | Val F1: 0.7890 | FPS: 11213.4
Epoch [22/30] | Train F1: 0.9289 | Val F1: 0.9046 | FPS: 11230.4
Epoch [23/30] | Train F1: 0.9421 | Val F1: 0.8571 | FPS: 11126.8
Epoch [24/30] | Train F1: 0.9352 | Val F1: 0.9071 | FPS: 8991.4
Epoch [25/30] | Train F1: 0.9275 | Val F1: 0.8951 | FPS: 11310.7
Epoch [26/30] | Train F1: 0.9377 | Val F1: 0.8308 | FPS: 11443.5
Epoch [27/30] | Train F1: 0.9261 | Val F1: 0.7424 | FPS: 11239.5
Epoch [28/30] | Train F1: 0.8908 | Val F1: 0.8582 | FPS: 11310.7
Epoch [29/30] | Train F1: 0.9203 | Val F1: 0.8975 | FPS: 10954.9
Epoch [30/30] | Train F1: 0.9433 | Val F1: 0.8996 | FPS: 11090.9

🧪 Running TEST set evaluation...

✅ TEST RESULT | Acc: 0.9471 | F1: 0.9206
