📂 Loading C:\Users\giang\Desktop\data\data_npy\Fall\labels...
📂 Loading C:\Users\giang\Desktop\data\data_npy\Non_Fall\labels...
✅ Loaded 1878 samples | Fall=718 | NonFall=1160
📊 Dataset split | Train=1314 | Val=375 | Test=189
🎯 Class distribution: Counter({0: 1160, 1: 718})
🎯 Focal alpha (normalized): [0.38232162594795227, 0.6176784038543701]
Epoch [01/30] | Val F1: 0.0000
Epoch [02/30] | Val F1: 0.5119
Epoch [03/30] | Val F1: 0.7910
Epoch [04/30] | Val F1: 0.8030
Epoch [05/30] | Val F1: 0.5119
Epoch [06/30] | Val F1: 0.5119
Epoch [07/30] | Val F1: 0.5119
Epoch [08/30] | Val F1: 0.5119
Epoch [09/30] | Val F1: 0.5119
Epoch [10/30] | Val F1: 0.5119
Epoch [11/30] | Val F1: 0.5119
Epoch [12/30] | Val F1: 0.5119
Epoch [13/30] | Val F1: 0.5119
Epoch [14/30] | Val F1: 0.5119
Epoch [15/30] | Val F1: 0.5119
Epoch [16/30] | Val F1: 0.5119
Epoch [17/30] | Val F1: 0.5119
Epoch [18/30] | Val F1: 0.5119
Epoch [19/30] | Val F1: 0.5119
Epoch [20/30] | Val F1: 0.5119
Epoch [21/30] | Val F1: 0.5119
Epoch [22/30] | Val F1: 0.5119
Epoch [23/30] | Val F1: 0.5119
Epoch [24/30] | Val F1: 0.5119
Epoch [25/30] | Val F1: 0.5119
Epoch [26/30] | Val F1: 0.5119
Epoch [27/30] | Val F1: 0.5119
Epoch [28/30] | Val F1: 0.5119
Epoch [29/30] | Val F1: 0.5119
Epoch [30/30] | Val F1: 0.5119

🧪 TEST evaluation
