✅ Loaded 1909 samples | Fall=726 | NonFall=1183
📊 Dataset split | Train=1336 | Val=381 | Test=192
C:\Users\giang\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\nn\modules\transformer.py:282: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
Epoch [01] | Train F1 0.468 | Val F1 0.650
Epoch [02] | Train F1 0.691 | Val F1 0.774
Epoch [03] | Train F1 0.731 | Val F1 0.767
Epoch [04] | Train F1 0.751 | Val F1 0.796
Epoch [05] | Train F1 0.774 | Val F1 0.726
Epoch [06] | Train F1 0.792 | Val F1 0.836
Epoch [07] | Train F1 0.809 | Val F1 0.753
Epoch [08] | Train F1 0.803 | Val F1 0.832
Epoch [09] | Train F1 0.835 | Val F1 0.830
Epoch [10] | Train F1 0.864 | Val F1 0.826
Epoch [11] | Train F1 0.873 | Val F1 0.841
Epoch [12] | Train F1 0.863 | Val F1 0.850
Epoch [13] | Train F1 0.875 | Val F1 0.843
Epoch [14] | Train F1 0.883 | Val F1 0.842
Epoch [15] | Train F1 0.886 | Val F1 0.855
Epoch [16] | Train F1 0.883 | Val F1 0.841
Epoch [17] | Train F1 0.880 | Val F1 0.834
Epoch [18] | Train F1 0.893 | Val F1 0.854
Epoch [19] | Train F1 0.889 | Val F1 0.853
Epoch [20] | Train F1 0.895 | Val F1 0.839
Epoch [21] | Train F1 0.892 | Val F1 0.872
Epoch [22] | Train F1 0.899 | Val F1 0.865
Epoch [23] | Train F1 0.915 | Val F1 0.838
Epoch [24] | Train F1 0.918 | Val F1 0.853
Epoch [25] | Train F1 0.904 | Val F1 0.845
Epoch [26] | Train F1 0.914 | Val F1 0.843
Epoch [27] | Train F1 0.912 | Val F1 0.861
Epoch [28] | Train F1 0.915 | Val F1 0.859
Epoch [29] | Train F1 0.921 | Val F1 0.854
Epoch [30] | Train F1 0.911 | Val F1 0.865
