✅ Loaded 1909 samples | Fall=726 | NonFall=1183
📊 Dataset split | Train=1336 | Val=381 | Test=192
C:\Users\giang\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\nn\modules\transformer.py:282: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
Epoch [01] | Train F1 0.536 | Val F1 0.754
Epoch [02] | Train F1 0.729 | Val F1 0.809
Epoch [03] | Train F1 0.753 | Val F1 0.835
Epoch [04] | Train F1 0.758 | Val F1 0.812
Epoch [05] | Train F1 0.788 | Val F1 0.820
Epoch [06] | Train F1 0.829 | Val F1 0.842
Epoch [07] | Train F1 0.835 | Val F1 0.860
Epoch [08] | Train F1 0.865 | Val F1 0.887
Epoch [09] | Train F1 0.861 | Val F1 0.862
Epoch [10] | Train F1 0.879 | Val F1 0.879
Epoch [11] | Train F1 0.874 | Val F1 0.861
Epoch [12] | Train F1 0.884 | Val F1 0.895
Epoch [13] | Train F1 0.874 | Val F1 0.901
Epoch [14] | Train F1 0.886 | Val F1 0.880
Epoch [15] | Train F1 0.889 | Val F1 0.915
Epoch [16] | Train F1 0.881 | Val F1 0.880
Epoch [17] | Train F1 0.912 | Val F1 0.907
Epoch [18] | Train F1 0.900 | Val F1 0.909
Epoch [19] | Train F1 0.902 | Val F1 0.918
Epoch [20] | Train F1 0.910 | Val F1 0.910
Epoch [21] | Train F1 0.899 | Val F1 0.924
Epoch [22] | Train F1 0.926 | Val F1 0.910
Epoch [23] | Train F1 0.917 | Val F1 0.911
Epoch [24] | Train F1 0.903 | Val F1 0.925
Epoch [25] | Train F1 0.923 | Val F1 0.871
Epoch [26] | Train F1 0.918 | Val F1 0.899
Epoch [27] | Train F1 0.930 | Val F1 0.901
Epoch [28] | Train F1 0.924 | Val F1 0.901
Epoch [29] | Train F1 0.936 | Val F1 0.857
Epoch [30] | Train F1 0.935 | Val F1 0.908
